,Time (s),Row x Col
47x12,0.018062,564
94x6,0.056627,564
27x21,0.010714,567
63x9,0.028833,567
81x7,0.043758,567
71x8,0.034888,568
30x19,0.011349,570
38x15,0.01392,570
57x10,0.024387,570
95x6,0.057741,570
26x22,0.010969,572
44x13,0.018808,572
52x11,0.021063,572
41x14,0.015109,574
82x7,0.04466,574
25x23,0.011119,575
32x18,0.011766,576
36x16,0.013035,576
48x12,0.018746,576
64x9,0.029682,576
72x8,0.03679,576
96x6,0.059452,576
34x17,0.012557,578
29x20,0.011268,580
58x10,0.025481,580
83x7,0.046339,581
97x6,0.060908,582
53x11,0.022313,583
73x8,0.03779,584
39x15,0.014918,585
45x13,0.017557,585
65x9,0.031015,585
28x21,0.011438,588
42x14,0.01597,588
49x12,0.019795,588
84x7,0.048126,588
98x6,0.062597,588
31x19,0.011743,589
59x10,0.02675,590
37x16,0.014102,592
74x8,0.038735,592
27x22,0.011807,594
33x18,0.012561,594
54x11,0.023429,594
66x9,0.03236,594
99x6,0.06441,594
35x17,0.013268,595
85x7,0.050992,595
26x23,0.01195,598
46x13,0.018588,598
25x24,0.01221,600
30x20,0.012058,600
40x15,0.01536,600
50x12,0.020889,600
60x10,0.02781,600
75x8,0.040099,600
100x6,0.066234,600
43x14,0.017045,602
86x7,0.051158,602
67x9,0.033463,603
55x11,0.02472,605
101x6,0.068293,606
32x19,0.012641,608
38x16,0.015082,608
76x8,0.042019,608
29x21,0.012212,609
87x7,0.053256,609
61x10,0.02901,610
47x13,0.019548,611
34x18,0.013812,612
36x17,0.014049,612
51x12,0.02219,612
68x9,0.034935,612
102x6,0.070684,612
41x15,0.016559,615
28x22,0.012445,616
44x14,0.01817,616
56x11,0.025769,616
77x8,0.043596,616
88x7,0.054726,616
103x6,0.072114,618
31x20,0.012854,620
62x10,0.030264,620
27x23,0.01281,621
69x9,0.036308,621
89x7,0.056046,623
26x24,0.013011,624
39x16,0.01582,624
48x13,0.020645,624
52x12,0.02309,624
78x8,0.045167,624
104x6,0.074265,624
33x19,0.013601,627
57x11,0.026826,627
37x17,0.015087,629
30x21,0.012972,630
35x18,0.014375,630
42x15,0.017387,630
45x14,0.019867,630
63x10,0.031619,630
70x9,0.037473,630
90x7,0.058165,630
79x8,0.046278,632
53x12,0.024559,636
49x13,0.02178,637
91x7,0.060185,637
29x22,0.013175,638
58x11,0.027952,638
71x9,0.039614,639
32x20,0.013603,640
40x16,0.016741,640
64x10,0.033042,640
80x8,0.04782,640
28x23,0.013468,644
46x14,0.020297,644
92x7,0.06176,644
43x15,0.0184,645
34x19,0.01466,646
38x17,0.016334,646
27x24,0.013876,648
36x18,0.015312,648
54x12,0.02599,648
72x9,0.04079,648
81x8,0.049606,648
59x11,0.029353,649
26x25,0.014218,650
50x13,0.022784,650
65x10,0.034678,650
31x21,0.013799,651
93x7,0.063109,651
41x16,0.017942,656
82x8,0.051356,656
73x9,0.042009,657
47x14,0.021184,658
94x7,0.065314,658
30x22,0.014074,660
33x20,0.014648,660
44x15,0.019828,660
55x12,0.026881,660
60x11,0.031187,660
66x10,0.035636,660
39x17,0.017124,663
51x13,0.023989,663
83x8,0.053051,664
35x19,0.015424,665
95x7,0.067234,665
37x18,0.016253,666
74x9,0.043681,666
29x23,0.014256,667
67x10,0.0373,670
61x11,0.032225,671
28x24,0.014613,672
32x21,0.014743,672
42x16,0.019079,672
48x14,0.022332,672
56x12,0.028497,672
84x8,0.054963,672
96x7,0.069116,672
27x25,0.01489,675
45x15,0.020831,675
75x9,0.045754,675
52x13,0.025254,676
97x7,0.071441,679
34x20,0.015726,680
40x17,0.018152,680
68x10,0.038953,680
85x8,0.056846,680
31x22,0.014913,682
62x11,0.033249,682
36x19,0.016399,684
38x18,0.017409,684
57x12,0.029445,684
76x9,0.047558,684
49x14,0.023697,686
98x7,0.07331,686
43x16,0.019875,688
86x8,0.059033,688
53x13,0.026663,689
30x23,0.015333,690
46x15,0.021844,690
69x10,0.040445,690
33x21,0.015761,693
63x11,0.035018,693
77x9,0.049076,693
99x7,0.075402,693
29x24,0.015446,696
58x12,0.030844,696
87x8,0.060052,696
41x17,0.019228,697
28x25,0.015928,700
35x20,0.016603,700
50x14,0.024684,700
70x10,0.042124,700
100x7,0.077672,700
27x26,0.016186,702
39x18,0.018781,702
54x13,0.02797,702
78x9,0.0512,702
37x19,0.017588,703
32x22,0.015846,704
44x16,0.021314,704
64x11,0.036372,704
88x8,0.062338,704
47x15,0.023124,705
101x7,0.079362,707
59x12,0.032187,708
71x10,0.044329,710
79x9,0.052432,711
89x8,0.064198,712
31x23,0.016097,713
34x21,0.016748,714
42x17,0.020398,714
51x14,0.02612,714
102x7,0.082665,714
55x13,0.029689,715
65x11,0.037688,715
30x24,0.016469,720
36x20,0.017744,720
40x18,0.019399,720
45x16,0.022494,720
48x15,0.024127,720
60x12,0.03395,720
72x10,0.046135,720
80x9,0.054164,720
90x8,0.066128,720
103x7,0.084184,721
38x19,0.018637,722
29x25,0.016661,725
33x22,0.016809,726
66x11,0.039613,726
28x26,0.017205,728
52x14,0.027531,728
56x13,0.03037,728
91x8,0.068651,728
104x7,0.086327,728
81x9,0.057096,729
73x10,0.047657,730
43x17,0.021445,731
61x12,0.035062,732
35x21,0.017885,735
49x15,0.025277,735
32x23,0.017123,736
46x16,0.023712,736
92x8,0.070737,736
67x11,0.041263,737
41x18,0.020429,738
82x9,0.057909,738
37x20,0.018776,740
74x10,0.048829,740
39x19,0.019724,741
57x13,0.031988,741
53x14,0.028767,742
31x24,0.017298,744
62x12,0.036507,744
93x8,0.072494,744
83x9,0.059859,747
34x22,0.018046,748
44x17,0.022846,748
68x11,0.042981,748
30x25,0.017741,750
50x15,0.026775,750
75x10,0.05058,750
47x16,0.024743,752
94x8,0.074884,752
29x26,0.018024,754
58x13,0.033775,754
28x27,0.018436,756
36x21,0.019052,756
42x18,0.021569,756
54x14,0.030285,756
63x12,0.038391,756
84x9,0.062051,756
33x23,0.018132,759
69x11,0.044614,759
38x20,0.020089,760
40x19,0.020728,760
76x10,0.053017,760
95x8,0.076738,760
45x17,0.025368,765
51x15,0.028564,765
85x9,0.064703,765
59x13,0.035019,767
32x24,0.018418,768
48x16,0.026239,768
64x12,0.039806,768
96x8,0.079,768
35x22,0.018984,770
55x14,0.032258,770
70x11,0.046371,770
77x10,0.054571,770
43x18,0.023111,774
86x9,0.066176,774
31x25,0.01872,775
97x8,0.081728,776
37x21,0.020284,777
41x19,0.021904,779
30x26,0.019204,780
39x20,0.021177,780
52x15,0.029759,780
60x13,0.036501,780
65x12,0.04165,780
78x10,0.056418,780
71x11,0.04884,781
34x23,0.019358,782
46x17,0.025368,782
29x27,0.019691,783
87x9,0.069012,783
49x16,0.027376,784
56x14,0.0332,784
98x8,0.083714,784
79x10,0.058185,790
33x24,0.019522,792
